link,paragraphe
https://www.lequipe.fr/Football/,Tous les buts de jeudi
https://www.bbc.com/sport/football,"How Matt Gould, on-loan Nantwich Town keeper and Wigan Athletic academy goalkeeping coach, got a World Cup call-up from New Zealand."
https://www.eurosport.fr/football/,"Les équipes à surveiller cette saison : Real Madrid, FC Barcelona, Manchester United, PSG et Bayern Munich."
https://www.eurosport.fr/football/,"Suivez toute l'actualité des transferts football et suivez les meilleurs joueurs du foot professionnel : Cristiano Ronaldo, Lionel Messi, Neymar et tous vos favoris."
https://www.eurosport.fr/football/,Regardez les vidéos de football en tendance avec les moments forts des derniers matchs. Retrouvez les plus beaux buts de la saison et les meilleures équipes en action.
https://www.francefootball.fr/,"Chaque semaine, composez la meilleure équipe de Ligue 1 et gagnez de nombreux lots."
https://en.wikipedia.org/wiki/Football,"There are a number of references to traditional, ancient, or prehistoric ball games played in many different parts of the world.[2][3][4] Contemporary codes of football can be traced back to the codification of these games at English public schools during the 19th century.[5][6] The expansion and cultural influence of the British Empire allowed these rules of football to spread to areas of British influence outside the directly controlled Empire.[7] By the end of the 19th century, distinct regional codes were already developing: Gaelic football, for example, deliberately incorporated the rules of local traditional football games in order to maintain their heritage.[8] In 1888, The Football League was founded in England, becoming the first of many professional football associations. During the 20th century, several of the various kinds of football grew to become some of the most popular team sports in the world.[9]"
https://en.wikipedia.org/wiki/Football,"Games played in Mesoamerica with rubber balls by indigenous peoples are also well-documented as existing since before this time, but these had more similarities to basketball or volleyball, and no links have been found between such games and modern football sports. Northeastern American Indians, especially the Iroquois Confederation, played a game which made use of net racquets to throw and catch a small ball; however, although it is a ball-goal foot game, lacrosse (as its modern descendant is called) is likewise not usually classed as a form of ""football.""[citation needed]"
https://en.wikipedia.org/wiki/Football,"The Māori in New Zealand played a game called Ki-o-rahi consisting of teams of seven players play on a circular field divided into zones, and score points by touching the 'pou' (boundary markers) and hitting a central 'tupu' or target.[citation needed]"
https://en.wikipedia.org/wiki/Football,"The Middle Ages saw a huge rise in popularity of annual Shrovetide football matches throughout Europe, particularly in England. An early reference to a ball game played in Britain comes from the 9th-century Historia Brittonum, attributed to Nennius, which describes ""a party of boys ... playing at ball"".[30] References to a ball game played in northern France known as La Soule or Choule, in which the ball was propelled by hands, feet, and sticks,[31] date from the 12th century.[32]"
https://en.wikipedia.org/wiki/Football,"In 1314, Nicholas de Farndone, Lord Mayor of the City of London issued a decree banning football in the French used by the English upper classes at the time. A translation reads: ""[f]orasmuch as there is great noise in the city caused by hustling over large foot balls [rageries de grosses pelotes de pee][39] in the fields of the public from which many evils might arise which God forbid: we command and forbid on behalf of the king, on pain of imprisonment, such game to be used in the city in the future."" This is the earliest reference to football."
https://en.wikipedia.org/wiki/Football,"There is also an account in Latin from the end of the 15th century of football being played at Caunton, Nottinghamshire. This is the first description of a ""kicking game"" and the first description of dribbling: ""[t]he game at which they had met for common recreation is called by some the foot-ball game. It is one in which young men, in country sport, propel a huge ball not by throwing it into the air but by striking it and rolling it along the ground, and that not with their hands but with their feet... kicking in opposite directions."" The chronicler gives the earliest reference to a football pitch, stating that: ""[t]he boundaries have been marked and the game had started.[37]"
https://en.wikipedia.org/wiki/Football,"While football continued to be played in various forms throughout Britain, its public schools (equivalent to private schools in other countries) are widely credited with four key achievements in the creation of modern football codes. First of all, the evidence suggests that they were important in taking football away from its ""mob"" form and turning it into an organised team sport. Second, many early descriptions of football and references to it were recorded by people who had studied at these schools. Third, it was teachers, students, and former students from these schools who first codified football games, to enable matches to be played between schools. Finally, it was at English public schools that the division between ""kicking"" and ""running"" (or ""carrying"") games first became clear."
https://en.wikipedia.org/wiki/Football,"The earliest evidence that games resembling football were being played at English public schools – mainly attended by boys from the upper, upper-middle and professional classes – comes from the Vulgaria by William Herman in 1519. Herman had been headmaster at Eton and Winchester colleges and his Latin textbook includes a translation exercise with the phrase ""We wyll playe with a ball full of wynde"".[50]"
https://en.wikipedia.org/wiki/Football,"Richard Mulcaster, a student at Eton College in the early 16th century and later headmaster at other English schools, has been described as ""the greatest sixteenth Century advocate of football"".[51] Among his contributions are the earliest evidence of organised team football. Mulcaster's writings refer to teams (""sides"" and ""parties""), positions (""standings""), a referee (""judge over the parties"") and a coach ""(trayning maister)"". Mulcaster's ""footeball"" had evolved from the disordered and violent forms of traditional football:"
https://en.wikipedia.org/wiki/Football,"English public schools were the first to codify football games. In particular, they devised the first offside rules, during the late 18th century.[57] In the earliest manifestations of these rules, players were ""off their side"" if they simply stood between the ball and the goal which was their objective. Players were not allowed to pass the ball forward, either by foot or by hand. They could only dribble with their feet, or advance the ball in a scrum or similar formation. However, offside laws began to diverge and develop differently at each school, as is shown by the rules of football from Winchester, Rugby, Harrow and Cheltenham, during between 1810 and 1850.[57] The first known codes – in the sense of a set of rules – were those of Eton in 1815[58] and Aldenham in 1825.[58])"
